ID,MatchNumber,Team1,Team2,WinningTeam,Player_of_Match
1359537,,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,MP Stoinis
1359538,,Delhi Capitals,Punjab Kings,Delhi Capitals,RR Rossouw
1359539,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
1359540,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,D Padikkal
1359541,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,RD Gaikwad
1359542,,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,N Pooran
1359543,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,C Green
1359544,,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,Shubman Gill
1370350,,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,RD Gaikwad
1370351,,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,Akash Madhwal
1370352,,Gujarat Titans,Mumbai Indians,Gujarat Titans,Shubman Gill
1370353,,Gujarat Titans,Chennai Super Kings,Gujarat Titans,DP Conway
1422119,,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Mustafizur Rahman
1422120,,Delhi Capitals,Punjab Kings,Punjab Kings,SM Curran
1422121,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,AD Russell
1422122,,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,SV Samson
1422123,,Gujarat Titans,Mumbai Indians,Gujarat Titans,B Sai Sudharsan
1422124,,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
1422125,,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,S Dube
1422126,,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Abhishek Sharma
1422127,,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,R Parag
1422128,,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine
1422129,,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,MP Yadav
1422130,,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,MM Sharma
1422131,,Delhi Capitals,Chennai Super Kings,Delhi Capitals,KK Ahmed
1422132,,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,TA Boult
1422133,,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,MP Yadav
1422134,,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,SP Narine
1422135,,Gujarat Titans,Punjab Kings,Punjab Kings,Shashank Singh
1422136,,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Abhishek Sharma
1422137,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,JC Buttler
1422138,,Mumbai Indians,Delhi Capitals,Mumbai Indians,R Shepherd
1422139,,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Yash Thakur
1426260,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,RA Jadeja
1426261,,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Nithish Kumar Reddy
1426262,,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Rashid Khan
1426263,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,JJ Bumrah
1426264,,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Kuldeep Yadav
1426265,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,SO Hetmyer
1426266,,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,PD Salt
1426267,,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,M Pathirana
1426268,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,TM Head
1426269,,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,JC Buttler
1426270,,Gujarat Titans,Delhi Capitals,Delhi Capitals,RR Pant
1426271,,Mumbai Indians,Punjab Kings,Mumbai Indians,JJ Bumrah
1426272,,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,KL Rahul
1426273,,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,TM Head
1426274,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,AD Russell
1426275,,Punjab Kings,Gujarat Titans,Gujarat Titans,R Sai Kishore
1426276,,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sandeep Sharma
1426277,,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,MP Stoinis
1426278,,Delhi Capitals,Gujarat Titans,Delhi Capitals,RR Pant
1426279,,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,RM Patidar
1426280,,Kolkata Knight Riders,Punjab Kings,Punjab Kings,JM Bairstow
1426281,,Delhi Capitals,Mumbai Indians,Delhi Capitals,J Fraser-McGurk
1426282,,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,SV Samson
1426283,,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,WG Jacks
1426284,,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,RD Gaikwad
1426285,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,CV Varun
1426286,,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,MP Stoinis
1426287,,Chennai Super Kings,Punjab Kings,Punjab Kings,Harpreet Brar
1426288,,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,B Kumar
1426289,,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,VR Iyer
1426290,,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mohammed Siraj
1426291,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,RA Jadeja
1426292,,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,SP Narine
1426293,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,SA Yadav
1426294,,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Kuldeep Yadav
1426295,,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,TM Head
1426296,,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,V Kohli
1426297,,Gujarat Titans,Chennai Super Kings,Gujarat Titans,Shubman Gill
1426298,,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,CV Varun
1426299,,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Simarjeet Singh
1426300,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,C Green
1426302,,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,I Sharma
1426303,,Rajasthan Royals,Punjab Kings,Punjab Kings,SM Curran
1426305,,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,N Pooran
1426306,,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,F du Plessis
1426307,,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Abhishek Sharma
1426309,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,MA Starc
1426310,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,R Ashwin
1426311,,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Shahbaz Ahmed
1426312,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,MA Starc
1473438,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,KH Pandya
1473439,,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Ishan Kishan
1473440,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Noor Ahmad
1473441,,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Ashutosh Sharma
1473442,,Punjab Kings,Gujarat Titans,Punjab Kings,SS Iyer
1473443,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Q de Kock
1473444,,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,SN Thakur
1473445,,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,RM Patidar
1473446,,Gujarat Titans,Mumbai Indians,Gujarat Titans,M Prasidh Krishna
1473447,,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,MA Starc
1473448,,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,N Rana
1473449,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Ashwani Kumar
1473450,,Lucknow Super Giants,Punjab Kings,Punjab Kings,P Simran Singh
1473451,,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,Mohammed Siraj
1473452,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,VG Arora
1473453,,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,DS Rathi
1473454,,Delhi Capitals,Chennai Super Kings,Delhi Capitals,KL Rahul
1473455,,Rajasthan Royals,Punjab Kings,Rajasthan Royals,JC Archer
1473456,,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,N Pooran
1473457,,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Mohammed Siraj
1473458,,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,RM Patidar
1473459,,Punjab Kings,Chennai Super Kings,Punjab Kings,Priyansh Arya
1473460,,Gujarat Titans,Rajasthan Royals,Gujarat Titans,B Sai Sudharsan
1473461,,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,KL Rahul
1473462,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine
1473463,,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,AK Markram
1473464,,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Abhishek Sharma
1473465,,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,PD Salt
1473466,,Mumbai Indians,Delhi Capitals,Mumbai Indians,KV Sharma
1473467,,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,MS Dhoni
1473468,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,YS Chahal
1473469,,Delhi Capitals,Rajasthan Royals,Delhi Capitals,MA Starc
1473470,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,WG Jacks
1473471,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,TH David
1473472,,Delhi Capitals,Gujarat Titans,Gujarat Titans,JC Buttler
1473473,,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,Avesh Khan
1473474,,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
1473475,,Chennai Super Kings,Mumbai Indians,Mumbai Indians,RG Sharma
1473476,,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Shubman Gill
1473477,,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Mukesh Kumar
1473478,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,TA Boult
1473479,,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,JR Hazlewood
1473480,,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,HV Patel
1473481,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Unknown
1473482,,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,WG Jacks
1473483,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,KH Pandya
1473484,,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,V Suryavanshi
1473485,,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,SP Narine
1473486,,Chennai Super Kings,Punjab Kings,Punjab Kings,SS Iyer
1473487,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,RD Rickelton
1473488,,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,M Prasidh Krishna
1473489,,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,R Shepherd
1473490,,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,AD Russell
1473491,,Punjab Kings,Lucknow Super Giants,Punjab Kings,P Simran Singh
1473492,,Delhi Capitals,,Delhi Capitals,Unknown
1473493,,Mumbai Indians,Gujarat Titans,Mumbai Indians,Shubman Gill
1473494,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Noor Ahmad
1473495,,Punjab Kings,,Punjab Kings,Unknown
1473497,,Punjab Kings,Rajasthan Royals,Punjab Kings,Harpreet Brar
1473498,,Delhi Capitals,Gujarat Titans,Gujarat Titans,B Sai Sudharsan
1473499,,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Abhishek Sharma
1473500,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Akash Madhwal
1473501,,Mumbai Indians,Delhi Capitals,Mumbai Indians,SA Yadav
1473502,,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,MR Marsh
1473503,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Ishan Kishan
1473504,,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,D Brevis
1473505,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,H Klaasen
1473506,,Mumbai Indians,Punjab Kings,Punjab Kings,JP Inglis
1473507,,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JM Sharma
1473508,,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Suyash Sharma
1473509,,Mumbai Indians,Gujarat Titans,Mumbai Indians,RG Sharma
1473510,,Mumbai Indians,Punjab Kings,Punjab Kings,SS Iyer
1473511,,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,KH Pandya
1485779,,Punjab Kings,Delhi Capitals,Delhi Capitals,Sameer Rizvi
1527674,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JA Duffy
1527675,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,SN Thakur
1527676,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,N Burger
1527677,,Gujarat Titans,Punjab Kings,Punjab Kings,C Connolly
1527678,,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Sameer Rizvi
1527679,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Nithish Kumar Reddy
1527680,,Chennai Super Kings,Punjab Kings,Punjab Kings,Priyansh Arya
1527681,,Mumbai Indians,Delhi Capitals,Delhi Capitals,Sameer Rizvi
1527682,,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Ravi Bishnoi
1527683,,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Mohammed Shami
1527684,,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,TH David
1527685,,Kolkata Knight Riders,,Kolkata Knight Riders,Unknown
1527686,,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,YBK Jaiswal
1527687,,Gujarat Titans,Delhi Capitals,Gujarat Titans,Rashid Khan
1527688,,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,MD Choudhary
1527689,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,V Suryavanshi
1527690,,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,SS Iyer
1527691,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,SV Samson
1527692,,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,M Prasidh Krishna
1527693,,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,PD Salt
1529264,,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,PP Hinge
1529265,,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Noor Ahmad
1529266,,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JR Hazlewood
1529267,,Mumbai Indians,Punjab Kings,Punjab Kings,Arshdeep Singh
