ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
598051,54,Chennai Super Kings,SK Raina,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
598052,55,Kings XI Punjab,KK Cooper,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
598053,56,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
598054,57,Royal Challengers Bangalore,JD Unadkat,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
598055,58,Pune Warriors,MG Johnson,Mumbai Indians,Pune Warriors,Pune Warriors
598056,59,Sunrisers Hyderabad,PA Patel,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
598057,60,Royal Challengers Bangalore,JH Kallis,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
598058,61,Chennai Super Kings,SR Watson,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
598060,62,Sunrisers Hyderabad,KA Pollard,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
598045,63,Royal Challengers Bangalore,AC Gilchrist,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
598062,64,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
598061,65,Pune Warriors,MK Pandey,Pune Warriors,Pune Warriors,Pune Warriors
598063,66,Mumbai Indians,AP Tare,Mumbai Indians,Mumbai Indians,Mumbai Indians
