ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
501199,2,Deccan Chargers,SK Trivedi,Rajasthan Royals,Deccan Chargers,Deccan Chargers
501200,3,Kochi Tuskers Kerala,AB de Villiers,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala
501201,4,Delhi Daredevils,SL Malinga,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
501202,5,Kings XI Punjab,SB Wagh,Pune Warriors,Kings XI Punjab,Kings XI Punjab
501203,6,Kolkata Knight Riders,JH Kallis,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
501204,7,Delhi Daredevils,SK Warne,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
501205,8,Royal Challengers Bangalore,SR Tendulkar,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
501206,9,Chennai Super Kings,PC Valthaty,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
501207,10,Kochi Tuskers Kerala,MD Mishra,Pune Warriors,Kochi Tuskers Kerala,Kochi Tuskers Kerala
501208,11,Deccan Chargers,DW Steyn,Deccan Chargers,Deccan Chargers,Deccan Chargers
501209,12,Rajasthan Royals,G Gambhir,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
501210,13,Mumbai Indians,BB McCullum,Kochi Tuskers Kerala,Mumbai Indians,Mumbai Indians
501211,14,Chennai Super Kings,MEK Hussey,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
501212,15,Deccan Chargers,PC Valthaty,Kings XI Punjab,Deccan Chargers,Deccan Chargers
501213,16,Pune Warriors,Yuvraj Singh,Delhi Daredevils,Pune Warriors,Pune Warriors
501214,17,Rajasthan Royals,L Balaji,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
501215,18,Chennai Super Kings,BB McCullum,Kochi Tuskers Kerala,Chennai Super Kings,Chennai Super Kings
501216,19,Deccan Chargers,S Sohal,Deccan Chargers,Deccan Chargers,Deccan Chargers
501218,21,Pune Warriors,MM Patel,Mumbai Indians,Pune Warriors,Pune Warriors
501219,22,Kochi Tuskers Kerala,DPMD Jayawardene,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi Tuskers Kerala
501220,23,Kings XI Punjab,SE Marsh,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
501221,25,Mumbai Indians,Harbhajan Singh,Mumbai Indians,Mumbai Indians,Mumbai Indians
501222,24,Kolkata Knight Riders,CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
501223,26,Delhi Daredevils,DA Warner,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
501224,27,Mumbai Indians,SL Malinga,Mumbai Indians,Mumbai Indians,Mumbai Indians
501225,28,Kochi Tuskers Kerala,SK Warne,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala
501226,29,Chennai Super Kings,MEK Hussey,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
501227,30,Delhi Daredevils,V Kohli,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
501228,31,Pune Warriors,DE Bollinger,Chennai Super Kings,Pune Warriors,Pune Warriors
501229,32,Deccan Chargers,I Sharma,Deccan Chargers,Deccan Chargers,Deccan Chargers
501230,33,Kolkata Knight Riders,MK Tiwary,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
501231,34,Mumbai Indians,J Botha,Rajasthan Royals,Mumbai Indians,Mumbai Indians
501232,35,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
501233,36,Delhi Daredevils,V Sehwag,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
501234,37,Kings XI Punjab,Iqbal Abdulla,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
501235,38,Pune Warriors,LRPL Taylor,Rajasthan Royals,Pune Warriors,Pune Warriors
501236,39,Chennai Super Kings,JA Morkel,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
501237,40,Mumbai Indians,KA Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
501238,41,Delhi Daredevils,P Parameswaran,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils
501239,42,Kolkata Knight Riders,YK Pathan,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
501240,43,Rajasthan Royals,MEK Hussey,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
501241,44,Mumbai Indians,R Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
501242,45,Kochi Tuskers Kerala,BJ Hodge,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi Tuskers Kerala
501243,46,Deccan Chargers,V Sehwag,Delhi Daredevils,Deccan Chargers,Deccan Chargers
501244,47,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
501245,48,Chennai Super Kings,Iqbal Abdulla,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
501246,49,Mumbai Indians,AT Rayudu,Mumbai Indians,Mumbai Indians,Mumbai Indians
501247,50,Kochi Tuskers Kerala,CH Gayle,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala
501248,51,Kings XI Punjab,R Sharma,Pune Warriors,Kings XI Punjab,Kings XI Punjab
501249,52,Chennai Super Kings,M Vijay,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
